Timestamp UNIX Id State
0.02 1760315271623 2 1
0.02 1760315271623 3 1
0.02 1760315271623 4 1
0.02 1760315271623 5 1
0.02 1760315271623 6 1
0.02 1760315271623 7 1
0.02 1760315271623 8 1
0.04 1760315271643 2 1
0.04 1760315271643 3 1
0.04 1760315271643 4 1
0.04 1760315271643 5 1
0.04 1760315271643 6 1
0.04 1760315271643 7 1
0.04 1760315271643 8 1
0.06 1760315271663 2 1
0.06 1760315271663 3 1
0.06 1760315271663 4 1
0.06 1760315271663 5 1
0.06 1760315271663 6 1
0.06 1760315271663 7 1
0.06 1760315271663 8 1
0.08 1760315271683 2 1
0.08 1760315271683 3 1
0.08 1760315271683 4 1
0.08 1760315271683 5 1
0.08 1760315271683 6 1
0.08 1760315271683 7 1
0.08 1760315271683 8 1
0.1 1760315271703 2 1
0.1 1760315271703 3 1
0.1 1760315271703 4 1
0.1 1760315271703 5 1
0.1 1760315271703 6 1
0.1 1760315271703 7 1
0.1 1760315271703 8 1
0.12 1760315271723 2 1
0.12 1760315271723 3 1
0.12 1760315271723 4 1
0.12 1760315271723 5 1
0.12 1760315271723 6 1
0.12 1760315271723 7 1
0.12 1760315271723 8 1
0.14 1760315271743 2 1
0.14 1760315271743 3 1
0.14 1760315271743 4 1
0.14 1760315271743 5 1
0.14 1760315271743 6 1
0.14 1760315271743 7 1
0.14 1760315271743 8 1
0.16 1760315271763 2 1
0.16 1760315271763 3 1
0.16 1760315271763 4 1
0.16 1760315271763 5 1
0.16 1760315271763 6 1
0.16 1760315271763 7 1
0.16 1760315271763 8 1
0.18 1760315271783 2 1
0.18 1760315271783 3 1
0.18 1760315271783 4 1
0.18 1760315271783 5 1
0.18 1760315271783 6 1
0.18 1760315271783 7 1
0.18 1760315271783 8 1
0.2 1760315271803 2 1
0.2 1760315271803 3 1
0.2 1760315271803 4 1
0.2 1760315271803 5 1
0.2 1760315271803 6 1
0.2 1760315271803 7 1
0.2 1760315271803 8 1
0.22 1760315271823 2 1
0.22 1760315271823 3 1
0.22 1760315271823 4 1
0.22 1760315271823 5 1
0.22 1760315271823 6 1
0.22 1760315271823 7 1
0.22 1760315271823 8 1
0.24 1760315271843 2 1
0.24 1760315271843 3 1
0.24 1760315271843 4 1
0.24 1760315271843 5 1
0.24 1760315271843 6 1
0.24 1760315271843 7 1
0.24 1760315271843 8 1
0.26 1760315271863 2 1
0.26 1760315271863 3 1
0.26 1760315271863 4 1
0.26 1760315271863 5 1
0.26 1760315271863 6 1
0.26 1760315271863 7 1
0.26 1760315271863 8 1
0.28 1760315271883 2 1
0.28 1760315271883 3 1
0.28 1760315271883 4 1
0.28 1760315271883 5 1
0.28 1760315271883 6 1
0.28 1760315271883 7 1
0.28 1760315271883 8 1
0.3 1760315271903 2 1
0.3 1760315271903 3 1
0.3 1760315271903 4 1
0.3 1760315271903 5 1
0.3 1760315271903 6 1
0.3 1760315271903 7 1
0.3 1760315271903 8 1
0.32 1760315271923 2 1
0.32 1760315271923 3 1
0.32 1760315271923 4 1
0.32 1760315271923 5 1
0.32 1760315271923 6 1
0.32 1760315271923 7 1
0.32 1760315271923 8 1
0.34 1760315271943 2 1
0.34 1760315271943 3 1
0.34 1760315271943 4 1
0.34 1760315271943 5 1
0.34 1760315271943 6 1
0.34 1760315271943 7 1
0.34 1760315271943 8 1
0.36 1760315271963 2 1
0.36 1760315271963 3 1
0.36 1760315271963 4 1
0.36 1760315271963 5 1
0.36 1760315271963 6 1
0.36 1760315271963 7 1
0.36 1760315271963 8 1
0.38 1760315271983 2 1
0.38 1760315271983 3 1
0.38 1760315271983 4 1
0.38 1760315271983 5 1
0.38 1760315271983 6 1
0.38 1760315271983 7 1
0.38 1760315271983 8 1
0.4 1760315272003 2 1
0.4 1760315272003 3 1
0.4 1760315272003 4 1
0.4 1760315272003 5 1
0.4 1760315272003 6 1
0.4 1760315272003 7 1
0.4 1760315272003 8 1
0.42 1760315272023 2 1
0.42 1760315272023 3 1
0.42 1760315272023 4 1
0.42 1760315272023 5 1
0.42 1760315272023 6 1
0.42 1760315272023 7 1
0.42 1760315272023 8 1
0.44 1760315272043 2 1
0.44 1760315272043 3 1
0.44 1760315272043 4 1
0.44 1760315272043 5 1
0.44 1760315272043 6 1
0.44 1760315272043 7 1
0.44 1760315272043 8 1
0.46 1760315272063 2 1
0.46 1760315272063 3 1
0.46 1760315272063 4 1
0.46 1760315272063 5 1
0.46 1760315272063 6 1
0.46 1760315272063 7 1
0.46 1760315272063 8 1
0.48 1760315272083 2 1
0.48 1760315272083 3 1
0.48 1760315272083 4 1
0.48 1760315272083 5 1
0.48 1760315272083 6 1
0.48 1760315272083 7 1
0.48 1760315272083 8 1
0.5 1760315272103 2 1
0.5 1760315272103 3 1
0.5 1760315272103 4 1
0.5 1760315272103 5 1
0.5 1760315272103 6 1
0.5 1760315272103 7 1
0.5 1760315272103 8 1
0.52 1760315272123 2 1
0.52 1760315272123 3 1
0.52 1760315272123 4 1
0.52 1760315272123 5 1
0.52 1760315272123 6 1
0.52 1760315272123 7 1
0.52 1760315272123 8 1
0.54 1760315272143 2 1
0.54 1760315272143 3 1
0.54 1760315272143 4 1
0.54 1760315272143 5 1
0.54 1760315272143 6 1
0.54 1760315272143 7 1
0.54 1760315272143 8 1
0.56 1760315272163 2 1
0.56 1760315272163 3 1
0.56 1760315272163 4 1
0.56 1760315272163 5 1
0.56 1760315272163 6 1
0.56 1760315272163 7 1
0.56 1760315272163 8 1
0.58 1760315272183 2 1
0.58 1760315272183 3 1
0.58 1760315272183 4 1
0.58 1760315272183 5 1
0.58 1760315272183 6 1
0.58 1760315272183 7 1
0.58 1760315272183 8 1
0.6 1760315272203 2 1
0.6 1760315272203 3 1
0.6 1760315272203 4 1
0.6 1760315272203 5 1
0.6 1760315272203 6 1
0.6 1760315272203 7 1
0.6 1760315272203 8 1
0.62 1760315272223 2 1
0.62 1760315272223 3 1
0.62 1760315272223 4 1
0.62 1760315272223 5 1
0.62 1760315272223 6 1
0.62 1760315272223 7 1
0.62 1760315272223 8 1
0.64 1760315272243 2 1
0.64 1760315272243 3 1
0.64 1760315272243 4 1
0.64 1760315272243 5 1
0.64 1760315272243 6 1
0.64 1760315272243 7 1
0.64 1760315272243 8 1
0.66 1760315272263 2 1
0.66 1760315272263 3 1
0.66 1760315272263 4 1
0.66 1760315272263 5 1
0.66 1760315272263 6 1
0.66 1760315272263 7 1
0.66 1760315272263 8 0
0.68 1760315272283 2 1
0.68 1760315272283 3 1
0.68 1760315272283 4 1
0.68 1760315272283 5 1
0.68 1760315272283 6 1
0.68 1760315272283 7 1
0.68 1760315272283 8 1
0.7 1760315272303 2 1
0.7 1760315272303 3 1
0.7 1760315272303 4 1
0.7 1760315272303 5 1
0.7 1760315272303 6 1
0.7 1760315272303 7 1
0.7 1760315272303 8 1
0.72 1760315272323 2 1
0.72 1760315272323 3 1
0.72 1760315272323 4 1
0.72 1760315272323 5 1
0.72 1760315272323 6 1
0.72 1760315272323 7 1
0.72 1760315272323 8 1
0.74 1760315272343 2 1
0.74 1760315272343 3 1
0.74 1760315272343 4 1
0.74 1760315272343 5 1
0.74 1760315272343 6 1
0.74 1760315272343 7 1
0.74 1760315272343 8 1
0.76 1760315272363 2 1
0.76 1760315272363 3 1
0.76 1760315272363 4 1
0.76 1760315272363 5 1
0.76 1760315272363 6 1
0.76 1760315272363 7 1
0.76 1760315272363 8 1
0.78 1760315272383 2 1
0.78 1760315272383 3 1
0.78 1760315272383 4 1
0.78 1760315272383 5 1
0.78 1760315272383 6 1
0.78 1760315272383 7 1
0.78 1760315272383 8 1
0.8 1760315272403 2 1
0.8 1760315272403 3 1
0.8 1760315272403 4 1
0.8 1760315272403 5 1
0.8 1760315272403 6 1
0.8 1760315272403 7 1
0.8 1760315272403 8 1
0.82 1760315272423 2 1
0.82 1760315272423 3 1
0.82 1760315272423 4 1
0.82 1760315272423 5 1
0.82 1760315272423 6 1
0.82 1760315272423 7 1
0.82 1760315272423 8 1
0.84 1760315272443 2 1
0.84 1760315272443 3 1
0.84 1760315272443 4 1
0.84 1760315272443 5 1
0.84 1760315272443 6 1
0.84 1760315272443 7 1
0.84 1760315272443 8 1
0.86 1760315272463 2 1
0.86 1760315272463 3 1
0.86 1760315272463 4 1
0.86 1760315272463 5 1
0.86 1760315272463 6 1
0.86 1760315272463 7 1
0.86 1760315272463 8 1
0.88 1760315272483 2 1
0.88 1760315272483 3 1
0.88 1760315272483 4 1
0.88 1760315272483 5 1
0.88 1760315272483 6 1
0.88 1760315272483 7 1
0.88 1760315272483 8 1
0.9 1760315272503 2 1
0.9 1760315272503 3 1
0.9 1760315272503 4 1
0.9 1760315272503 5 1
0.9 1760315272503 6 1
0.9 1760315272503 7 1
0.9 1760315272503 8 0
0.92 1760315272523 2 1
0.92 1760315272523 3 1
0.92 1760315272523 4 1
0.92 1760315272523 5 1
0.92 1760315272523 6 1
0.92 1760315272523 7 1
0.92 1760315272523 8 1
0.94 1760315272543 2 1
0.94 1760315272543 3 1
0.94 1760315272543 4 1
0.94 1760315272543 5 1
0.94 1760315272543 6 1
0.94 1760315272543 7 1
0.94 1760315272543 8 1
0.96 1760315272563 2 1
0.96 1760315272563 3 1
0.96 1760315272563 4 1
0.96 1760315272563 5 1
0.96 1760315272563 6 1
0.96 1760315272563 7 1
0.96 1760315272563 8 1
0.98 1760315272583 2 1
0.98 1760315272583 3 1
0.98 1760315272583 4 1
0.98 1760315272583 5 1
0.98 1760315272583 6 1
0.98 1760315272583 7 1
0.98 1760315272583 8 1
1 1760315272603 2 1
1 1760315272603 3 1
1 1760315272603 4 1
1 1760315272603 5 1
1 1760315272603 6 1
1 1760315272603 7 1
1 1760315272603 8 1
1.02 1760315272623 2 1
1.02 1760315272623 3 1
1.02 1760315272623 4 1
1.02 1760315272623 5 1
1.02 1760315272623 6 0
1.02 1760315272623 7 1
1.02 1760315272623 8 1
1.04 1760315272643 2 1
1.04 1760315272643 3 1
1.04 1760315272643 4 1
1.04 1760315272643 5 1
1.04 1760315272643 6 1
1.04 1760315272643 7 1
1.04 1760315272643 8 1
1.06 1760315272663 2 1
1.06 1760315272663 3 1
1.06 1760315272663 4 1
1.06 1760315272663 5 1
1.06 1760315272663 6 1
1.06 1760315272663 7 1
1.06 1760315272663 8 1
1.08 1760315272683 2 1
1.08 1760315272683 3 1
1.08 1760315272683 4 1
1.08 1760315272683 5 1
1.08 1760315272683 6 1
1.08 1760315272683 7 1
1.08 1760315272683 8 1
1.1 1760315272703 2 1
1.1 1760315272703 3 1
1.1 1760315272703 4 1
1.1 1760315272703 5 1
1.1 1760315272703 6 1
1.1 1760315272703 7 1
1.1 1760315272703 8 1
1.12 1760315272723 2 1
1.12 1760315272723 3 1
1.12 1760315272723 4 1
1.12 1760315272723 5 1
1.12 1760315272723 6 1
1.12 1760315272723 7 1
1.12 1760315272723 8 1
1.14 1760315272743 2 1
1.14 1760315272743 3 1
1.14 1760315272743 4 1
1.14 1760315272743 5 1
1.14 1760315272743 6 1
1.14 1760315272743 7 1
1.14 1760315272743 8 1
1.16 1760315272763 2 1
1.16 1760315272763 3 1
1.16 1760315272763 4 1
1.16 1760315272763 5 1
1.16 1760315272763 6 1
1.16 1760315272763 7 1
1.16 1760315272763 8 1
1.18 1760315272783 2 1
1.18 1760315272783 3 1
1.18 1760315272783 4 1
1.18 1760315272783 5 1
1.18 1760315272783 6 1
1.18 1760315272783 7 1
1.18 1760315272783 8 1
1.2 1760315272803 2 1
1.2 1760315272803 3 1
1.2 1760315272803 4 1
1.2 1760315272803 5 1
1.2 1760315272803 6 1
1.2 1760315272803 7 1
1.2 1760315272803 8 1
1.22 1760315272823 2 1
1.22 1760315272823 3 1
1.22 1760315272823 4 1
1.22 1760315272823 5 1
1.22 1760315272823 6 1
1.22 1760315272823 7 1
1.22 1760315272823 8 1
1.24 1760315272843 2 1
1.24 1760315272843 3 1
1.24 1760315272843 4 1
1.24 1760315272843 5 1
1.24 1760315272843 6 1
1.24 1760315272843 7 1
1.24 1760315272843 8 1
1.26 1760315272863 2 1
1.26 1760315272863 3 1
1.26 1760315272863 4 1
1.26 1760315272863 5 0
1.26 1760315272863 6 1
1.26 1760315272863 7 1
1.26 1760315272863 8 1
1.28 1760315272883 2 1
1.28 1760315272883 3 1
1.28 1760315272883 4 1
1.28 1760315272883 5 1
1.28 1760315272883 6 1
1.28 1760315272883 7 1
1.28 1760315272883 8 1
1.3 1760315272903 2 1
1.3 1760315272903 3 1
1.3 1760315272903 4 1
1.3 1760315272903 5 1
1.3 1760315272903 6 1
1.3 1760315272903 7 1
1.3 1760315272903 8 1
1.32 1760315272923 2 1
1.32 1760315272923 3 1
1.32 1760315272923 4 1
1.32 1760315272923 5 0
1.32 1760315272923 6 1
1.32 1760315272923 7 1
1.32 1760315272923 8 1
1.34 1760315272943 2 1
1.34 1760315272943 3 1
1.34 1760315272943 4 1
1.34 1760315272943 5 1
1.34 1760315272943 6 1
1.34 1760315272943 7 1
1.34 1760315272943 8 1
1.36 1760315272963 2 1
1.36 1760315272963 3 1
1.36 1760315272963 4 1
1.36 1760315272963 5 1
1.36 1760315272963 6 1
1.36 1760315272963 7 1
1.36 1760315272963 8 1
1.38 1760315272983 2 1
1.38 1760315272983 3 1
1.38 1760315272983 4 1
1.38 1760315272983 5 1
1.38 1760315272983 6 1
1.38 1760315272983 7 1
1.38 1760315272983 8 1
1.4 1760315273003 2 1
1.4 1760315273003 3 1
1.4 1760315273003 4 1
1.4 1760315273003 5 1
1.4 1760315273003 6 1
1.4 1760315273003 7 1
1.4 1760315273003 8 1
1.42 1760315273023 2 1
1.42 1760315273023 3 1
1.42 1760315273023 4 1
1.42 1760315273023 5 1
1.42 1760315273023 6 1
1.42 1760315273023 7 1
1.42 1760315273023 8 1
1.44 1760315273043 2 1
1.44 1760315273043 3 1
1.44 1760315273043 4 1
1.44 1760315273043 5 1
1.44 1760315273043 6 1
1.44 1760315273043 7 1
1.44 1760315273043 8 1
1.46 1760315273063 2 1
1.46 1760315273063 3 1
1.46 1760315273063 4 1
1.46 1760315273063 5 1
1.46 1760315273063 6 1
1.46 1760315273063 7 1
1.46 1760315273063 8 1
1.48 1760315273083 2 1
1.48 1760315273083 3 1
1.48 1760315273083 4 1
1.48 1760315273083 5 1
1.48 1760315273083 6 1
1.48 1760315273083 7 1
1.48 1760315273083 8 1
1.5 1760315273103 2 1
1.5 1760315273103 3 1
1.5 1760315273103 4 1
1.5 1760315273103 5 1
1.5 1760315273103 6 1
1.5 1760315273103 7 1
1.5 1760315273103 8 1
1.52 1760315273123 2 1
1.52 1760315273123 3 1
1.52 1760315273123 4 1
1.52 1760315273123 5 1
1.52 1760315273123 6 1
1.52 1760315273123 7 1
1.52 1760315273123 8 1
1.54 1760315273143 2 1
1.54 1760315273143 3 1
1.54 1760315273143 4 1
1.54 1760315273143 5 1
1.54 1760315273143 6 1
1.54 1760315273143 7 1
1.54 1760315273143 8 1
1.56 1760315273163 2 1
1.56 1760315273163 3 1
1.56 1760315273163 4 1
1.56 1760315273163 5 1
1.56 1760315273163 6 1
1.56 1760315273163 7 1
1.56 1760315273163 8 1
1.58 1760315273183 2 1
1.58 1760315273183 3 1
1.58 1760315273183 4 1
1.58 1760315273183 5 1
1.58 1760315273183 6 1
1.58 1760315273183 7 1
1.58 1760315273183 8 1
1.6 1760315273203 2 1
1.6 1760315273203 3 1
1.6 1760315273203 4 1
1.6 1760315273203 5 1
1.6 1760315273203 6 1
1.6 1760315273203 7 1
1.6 1760315273203 8 1
1.62 1760315273223 2 1
1.62 1760315273223 3 1
1.62 1760315273223 4 1
1.62 1760315273223 5 1
1.62 1760315273223 6 1
1.62 1760315273223 7 1
1.62 1760315273223 8 1
1.64 1760315273243 2 1
1.64 1760315273243 3 1
1.64 1760315273243 4 1
1.64 1760315273243 5 1
1.64 1760315273243 6 1
1.64 1760315273243 7 1
1.64 1760315273243 8 1
1.66 1760315273263 2 1
1.66 1760315273263 3 1
1.66 1760315273263 4 1
1.66 1760315273263 5 1
1.66 1760315273263 6 1
1.66 1760315273263 7 1
1.66 1760315273263 8 1
1.68 1760315273283 2 1
1.68 1760315273283 3 1
1.68 1760315273283 4 1
1.68 1760315273283 5 1
1.68 1760315273283 6 1
1.68 1760315273283 7 1
1.68 1760315273283 8 1
1.7 1760315273303 2 1
1.7 1760315273303 3 1
1.7 1760315273303 4 1
1.7 1760315273303 5 1
1.7 1760315273303 6 1
1.7 1760315273303 7 1
1.7 1760315273303 8 1
1.72 1760315273323 2 1
1.72 1760315273323 3 1
1.72 1760315273323 4 1
1.72 1760315273323 5 1
1.72 1760315273323 6 1
1.72 1760315273323 7 1
1.72 1760315273323 8 1
1.74 1760315273343 2 1
1.74 1760315273343 3 1
1.74 1760315273343 4 1
1.74 1760315273343 5 1
1.74 1760315273343 6 1
1.74 1760315273343 7 1
1.74 1760315273343 8 1
1.76 1760315273363 2 1
1.76 1760315273363 3 1
1.76 1760315273363 4 1
1.76 1760315273363 5 1
1.76 1760315273363 6 1
1.76 1760315273363 7 1
1.76 1760315273363 8 1
1.78 1760315273383 2 1
1.78 1760315273383 3 1
1.78 1760315273383 4 1
1.78 1760315273383 5 1
1.78 1760315273383 6 1
1.78 1760315273383 7 1
1.78 1760315273383 8 1
1.8 1760315273403 2 1
1.8 1760315273403 3 1
1.8 1760315273403 4 1
1.8 1760315273403 5 1
1.8 1760315273403 6 1
1.8 1760315273403 7 1
1.8 1760315273403 8 1
1.82 1760315273423 2 1
1.82 1760315273423 3 1
1.82 1760315273423 4 1
1.82 1760315273423 5 1
1.82 1760315273423 6 1
1.82 1760315273423 7 1
1.82 1760315273423 8 1
1.84 1760315273443 2 1
1.84 1760315273443 3 1
1.84 1760315273443 4 1
1.84 1760315273443 5 1
1.84 1760315273443 6 1
1.84 1760315273443 7 1
1.84 1760315273443 8 1
1.86 1760315273463 2 1
1.86 1760315273463 3 1
1.86 1760315273463 4 1
1.86 1760315273463 5 1
1.86 1760315273463 6 1
1.86 1760315273463 7 1
1.86 1760315273463 8 1
1.88 1760315273483 2 1
1.88 1760315273483 3 1
1.88 1760315273483 4 1
1.88 1760315273483 5 1
1.88 1760315273483 6 1
1.88 1760315273483 7 1
1.88 1760315273483 8 1
1.9 1760315273503 2 1
1.9 1760315273503 3 1
1.9 1760315273503 4 1
1.9 1760315273503 5 1
1.9 1760315273503 6 1
1.9 1760315273503 7 1
1.9 1760315273503 8 1
1.92 1760315273523 2 1
1.92 1760315273523 3 1
1.92 1760315273523 4 1
1.92 1760315273523 5 1
1.92 1760315273523 6 1
1.92 1760315273523 7 1
1.92 1760315273523 8 1
1.94 1760315273543 2 1
1.94 1760315273543 3 1
1.94 1760315273543 4 1
1.94 1760315273543 5 1
1.94 1760315273543 6 1
1.94 1760315273543 7 1
1.94 1760315273543 8 1
1.96 1760315273563 2 1
1.96 1760315273563 3 1
1.96 1760315273563 4 1
1.96 1760315273563 5 1
1.96 1760315273563 6 1
1.96 1760315273563 7 1
1.96 1760315273563 8 1
1.98 1760315273583 2 1
1.98 1760315273583 3 1
1.98 1760315273583 4 1
1.98 1760315273583 5 1
1.98 1760315273583 6 1
1.98 1760315273583 7 1
1.98 1760315273583 8 1
2 1760315273603 2 1
2 1760315273603 3 1
2 1760315273603 4 1
2 1760315273603 5 1
2 1760315273603 6 1
2 1760315273603 7 1
2 1760315273603 8 1
2.02 1760315273623 2 1
2.02 1760315273623 3 1
2.02 1760315273623 4 1
2.02 1760315273623 5 1
2.02 1760315273623 6 1
2.02 1760315273623 7 1
2.02 1760315273623 8 1
2.04 1760315273643 2 1
2.04 1760315273643 3 1
2.04 1760315273643 4 0
2.04 1760315273643 5 1
2.04 1760315273643 6 1
2.04 1760315273643 7 1
2.04 1760315273643 8 1
2.06 1760315273663 2 1
2.06 1760315273663 3 1
2.06 1760315273663 4 1
2.06 1760315273663 5 1
2.06 1760315273663 6 1
2.06 1760315273663 7 1
2.06 1760315273663 8 1
2.08 1760315273683 2 1
2.08 1760315273683 3 1
2.08 1760315273683 4 1
2.08 1760315273683 5 1
2.08 1760315273683 6 1
2.08 1760315273683 7 1
2.08 1760315273683 8 1
