% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	0	0	1.22325e-13	257.884	0
0.000214285	1	0	0	2.86778e-13	604.582	0
0.000214285	1	0	0	4.8956e-13	1032.08	0
0.000214285	1	0	0	1.18494e-13	249.808	0
0.000214285	1	0	0	1.19034e-13	250.947	0
0.000214285	1	0	0	1.59222e-12	3356.7	0
0.000214285	1	0	0	2.94279e-13	620.394	0
0.000214285	1	0	0	2.30466e-13	485.865	0
0.000214285	1	0	0	1.54806e-13	326.359	0
0.000214285	1	0	0	1.83099e-13	386.008	0
0.000214285	1	0	0	3.8162e-13	804.526	0
0.000214285	1	0	0	1.3361e-13	281.674	0
0.00121429	1	0	0	1.22326e-13	257.885	0
0.00121429	1	0	0	2.86779e-13	604.583	0
0.00121429	1	0	0	4.89565e-13	1032.09	0
0.00121429	1	0	0	1.18494e-13	249.806	0
0.00121429	1	0	0	1.19034e-13	250.947	0
0.00121429	1	0	0	1.59219e-12	3356.63	0
0.00121429	1	0	0	2.9428e-13	620.397	0
0.00121429	1	0	0	2.30465e-13	485.864	0
0.00121429	1	0	0	1.54805e-13	326.357	0
0.00121429	1	0	0	1.83098e-13	386.004	0
0.00121429	1	0	0	3.81617e-13	804.519	0
0.00121429	1	0	0	1.33609e-13	281.673	0
0.00221428	1	0	0	1.22327e-13	257.887	0
0.00221428	1	0	0	2.8678e-13	604.584	0
0.00221428	1	0	0	4.89571e-13	1032.11	0
0.00221428	1	0	0	1.18493e-13	249.805	0
0.00221428	1	0	0	1.19034e-13	250.947	0
0.00221428	1	0	0	1.59216e-12	3356.57	0
0.00221428	1	0	0	2.94282e-13	620.4	0
0.00221428	1	0	0	2.30465e-13	485.863	0
0.00221428	1	0	0	1.54804e-13	326.355	0
0.00221428	1	0	0	1.83096e-13	386.001	0
0.00221428	1	0	0	3.81614e-13	804.512	0
0.00221428	1	0	0	1.33609e-13	281.672	0
0.00321428	1	0	0	1.22327e-13	257.888	0
0.00321428	1	0	0	2.8678e-13	604.586	0
